"","X","date","latitude","longitude","name","life.stage","occurrence","count","SL.length.mm","distance.surveyed.m","main.method","total.shocking.time.min","salinity.ppt","pH","DO.mg.L","turbidity","water.temp.C","substrate","mud.silt","sand","gravel","cobble","boulder","width.m","depth.cm","gradient","habitat","edgewater","riffle","run","pool","glide","flatwater","mean.monthly.flow.cfs","flow.cfs","source","FL.length.mm","carapace.length.mm","weight.g"
"27",27,"1985-05-18",34.558498,-119.104631,"arroyo chub",NA,1,7,NA,NA,"electroshocking",NA,NA,NA,NA,NA,17.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"28",28,"1985-05-18",34.558498,-119.104631,"stickleback",NA,1,6,NA,NA,"electroshocking",NA,NA,NA,NA,NA,17.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"29",29,"1985-05-18",34.558498,-119.104631,"green sunfish",NA,1,56,NA,NA,"electroshocking",NA,NA,NA,NA,NA,17.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"30",30,"1985-05-18",34.558498,-119.104631,"pacific lamprey",NA,1,1,NA,NA,"electroshocking",NA,NA,NA,NA,NA,17.2222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,"CA Department of fish and game, Sespe Creek Wild Trout Management Plan, Sespe Creek, Ventura County. Shoken Sasaki, Fishery Biologist.",NA,NA,NA
"31",1,"1995-06-11",34.419339,-118.629627,"unarmored threespine stickleback",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"32",2,"1995-06-11",34.419339,-118.629627,"arroyo chub",NA,1,51,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"33",3,"1995-06-11",34.419339,-118.629627,"santa ana sucker",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"34",4,"1995-06-11",34.419589,-118.629403,"unarmored threespine stickleback",NA,1,1,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"35",5,"1995-06-11",34.419589,-118.629403,"arroyo chub",NA,1,1,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"36",6,"1995-06-11",34.419589,-118.629403,"santa ana sucker",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"37",7,"1995-06-11",34.419735,-118.62936,"unarmored threespine stickleback",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"38",8,"1995-06-11",34.419735,-118.62936,"arroyo chub",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"39",9,"1995-06-11",34.419735,-118.62936,"santa ana sucker",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"40",10,"1995-06-11",34.420095,-118.628828,"unarmored threespine stickleback",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"41",11,"1995-06-11",34.420095,-118.628828,"arroyo chub",NA,1,3,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"42",12,"1995-06-11",34.420095,-118.628828,"santa ana sucker",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"43",13,"1995-06-11",34.420402,-118.628166,"unarmored threespine stickleback",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"44",14,"1995-06-11",34.420402,-118.628166,"arroyo chub",NA,1,34,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"45",15,"1995-06-11",34.420402,-118.628166,"santa ana sucker",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"46",16,"1995-06-11",34.420769,-118.627566,"unarmored threespine stickleback",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"47",17,"1995-06-11",34.420769,-118.627566,"arroyo chub",NA,1,1,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"48",18,"1995-06-11",34.420769,-118.627566,"santa ana sucker",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"49",19,"1995-06-11",34.42095,-118.626855,"unarmored threespine stickleback",NA,1,2,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"50",20,"1995-06-11",34.42095,-118.626855,"arroyo chub",NA,1,28,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"51",21,"1995-06-11",34.42095,-118.626855,"santa ana sucker",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"52",22,"1995-06-11",34.421231,-118.626192,"unarmored threespine stickleback",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"53",23,"1995-06-11",34.421231,-118.626192,"arroyo chub",NA,1,2,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"54",24,"1995-06-11",34.421231,-118.626192,"santa ana sucker",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"55",25,"1995-06-11",34.421567,-118.625624,"unarmored threespine stickleback",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"56",26,"1995-06-11",34.421567,-118.625624,"arroyo chub",NA,1,6,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"57",27,"1995-06-11",34.421567,-118.625624,"santa ana sucker",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"58",28,"1995-06-11",34.421957,-118.625085,"unarmored threespine stickleback",NA,1,2,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"59",29,"1995-06-11",34.421957,-118.625085,"arroyo chub",NA,1,2,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"60",30,"1995-06-11",34.421957,-118.625085,"santa ana sucker",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"61",31,"1995-06-11",34.422435,-118.624538,"unarmored threespine stickleback",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"62",32,"1995-06-11",34.422435,-118.624538,"arroyo chub",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"63",33,"1995-06-11",34.422435,-118.624538,"santa ana sucker",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"64",34,"1995-06-11",34.422935,-118.624044,"unarmored threespine stickleback",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"65",35,"1995-06-11",34.422935,-118.624044,"arroyo chub",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"66",36,"1995-06-11",34.422935,-118.624044,"santa ana sucker",NA,0,0,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
"67",37,"1995-06-11",34.423387,-118.62356,"unarmored threespine stickleback",NA,1,4,NA,NA,"seine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensitive Aquatic Species Survey; Santa Clara River and San Francisquito Creek; Newhall land and Farming Company Property; Los Angeles, 1995. San Marino Environmental Associates",NA,NA,NA
